source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri,categoria
Onthophagus praecellens,preyedUponBy,Solenopsis geminata,"@article{Cornaby_1974,	doi = {10.2307/2989697}, url = {https://doi.org/10.2307%2F2989697}, year = 1974, month = {apr}, publisher = {{JSTOR}}, volume = {6}, number = {1}, pages = {51}, author = {Barney W. Cornaby}, title = {Carrion Reduction by Animals in Contrasting Tropical Habitats}, journal = {Biotropica}}",https://www.jstor.org/stable/2989697?seq=1#metadata_info_tab_contents,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip,Outro / não classificado
Deltochilum lobipes,preyedUponBy,Solenopsis geminata,"@article{Cornaby_1974,	doi = {10.2307/2989697}, url = {https://doi.org/10.2307%2F2989697}, year = 1974, month = {apr}, publisher = {{JSTOR}}, volume = {6}, number = {1}, pages = {51}, author = {Barney W. Cornaby}, title = {Carrion Reduction by Animals in Contrasting Tropical Habitats}, journal = {Biotropica}}",https://www.jstor.org/stable/2989697?seq=1#metadata_info_tab_contents,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip,Outro / não classificado
Eurysternus caribaeus,preyedUponBy,Solenopsis geminata,"@article{Cornaby_1974,	doi = {10.2307/2989697}, url = {https://doi.org/10.2307%2F2989697}, year = 1974, month = {apr}, publisher = {{JSTOR}}, volume = {6}, number = {1}, pages = {51}, author = {Barney W. Cornaby}, title = {Carrion Reduction by Animals in Contrasting Tropical Habitats}, journal = {Biotropica}}",https://www.jstor.org/stable/2989697?seq=1#metadata_info_tab_contents,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip,Outro / não classificado
Cimex hemipterus,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Eurysternus caribaeus,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Deltochilum lobipes,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Onthophagus praecellens,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Crematogaster,interactsWith,Crematogaster crinosa,https://arctos.database.museum/guid/UTEP:Ento:1451,https://arctos.database.museum/guid/UTEP:Ento:1451,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip,Catálogo institucional
Aphaenogaster fulva,interactsWith,Brachymyrmex,https://arctos.database.museum/guid/UTEP:Ento:1913,https://arctos.database.museum/guid/UTEP:Ento:1913,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip,Catálogo institucional
Casinaria grandis,parasitoidOf,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip,Mineração de texto
